State,City,Restaurant Name,Location,Category,Dish Name,Price (INR),Rating,Rating Count
West Bengal,Kolkata,Veg Meals by Lunchbox,Rajarhat,Upwas Specials,Sabudana Vada  (4 Pcs) & Green Chutney,139.0,0.0,0
Manipur,Imphal,Mr Khan Restro,Thangapat,Main Course,Chicken biryani qtr+1 leg piece masala+2 chick salad,400.0,0.0,0
Mizoram,Aizawl,Elite Kitchen,Bazaar Bungkan,Snacks,Chicken chop,195.0,0.0,0
Karnataka,Bengaluru,Kaati Zone Rolls & Wraps,Electronic City,Desserts & Jar Cakes,Blueberry Jar Cake,209.0,0.0,0
Uttarakhand,Dehradun,Kumar'S Sweet Shop (Jakhan),Jakhan,Chatori Gali,Dahi Bhalla [Per Plate],85.0,4.3,47
Bihar,Patna,City Nation Cafe,Kankarbagh,Indo Italian Gravy Momos,Red Sauce [Chicken],269.0,0.0,0
West Bengal,Kolkata,Hindusthan Sweets,New Town,Dry Sweets,Darbesh (4pcs),78.0,0.0,0
Jharkhand,Ranchi,The Food Court,Hatia,Dahi Chaat,Mixed Chaat,220.0,4.3,14
Uttar Pradesh,Lucknow,LunchBox - Meals and Thalis,Kamta,Rice Lunchbox,Chicken Lababdar Rice LunchBox,309.0,4.7,2
Telangana,Hyderabad,LunchBox - Meals and Thalis,Boduppal,Recommended,Sabudana Paratha & Dum Aloo Vrat Thali,339.0,0.0,0
Bihar,Patna,Cafe Coffee Day,Patliputra Colony,Celebration Cakes And Desserts,Chocolate Muffin,199.0,4.3,11
Tamil Nadu,Chennai,McDonald's,Nehru Nagar,Burger Combos ( 3 Pc Meals ),Mexican McAloo Tikki Double Patty Burger Combo,243.0,2.8,4
Himachal Pradesh,Shimla,Domino's Pizza,Combermere House,Beverages,Sprite 475ml,66.66,0.0,0
Himachal Pradesh,Shimla,Tara Bhojanalya,Shilli,Non Veg Items,Mutton Saag,539.0,0.0,0
Uttar Pradesh,Lucknow,Neelkanth Sweets,Gomti Nagar,Jalebi / Imarti,Coin Jalebi,150.0,4.7,189
Mizoram,Aizawl,Domino's Pizza,Only_Dominos_Aizawl,Dominos Classics,Cheese n Corn Pizza,219.0,5.0,2
Tamil Nadu,Chennai,Perambur Sri Annapoorani,Perambur,Dosa Varieties,Mushroom Masal Dosa,152.0,4.4,18
Tripura,Agartala,Domino's Pizza,Dom_Only_Agartala,Garlic Breads & Dips,Garlic Breadsticks + Cheesy Dip,137.57,3.8,1
Karnataka,Bengaluru,Theobroma,Velankani Drive,Recommended,Almond Rocks (500g),1300.0,4.7,1
Tripura,Agartala,Taste With Me !,Dhaleswar,Chicken Item,Chicken Kosha    ,149.0,4.2,193
Sikkim,Gangtok,La Pino'z Pizza,"MG Road, Gangtok",DOTD,Chicken 65 Pizza Regular,275.0,0.0,0
Telangana,Hyderabad,Theobroma,Uppal,Brownies,Eggless Walnut Brownie [1 Piece],105.0,4.5,55
Maharashtra,Mumbai,Baskin Robbins - Ice Cream Desserts,Ulwe,Classic & Nuts Ice Creams,Honey Nut Crunch Ice Cream,110.0,4.9,101
Karnataka,Bengaluru,chickpet Donne Biryani House,Rajarajeshwari Nagar,Egg,Boiled Egg,15.0,3.1,22
Delhi,New Delhi,"Faasos - Wraps, Rolls & Shawarma",Rohini,Desserts,Biscoff Cheesecake Slice,199.0,4.0,1
Manipur,Imphal,Crush Restaurant,Moirangkhom,Signatures,Crush  Special  Fried  Rice With  Beef,290.0,0.0,0
Punjab,Chandigarh,Burger King,Mohali Kharar Road Mohali,NEW Whopper Deluxe (Reg. Size Bun),Extra Crunchy Veg Whopper Deluxe(Reg. Size Bun).,149.0,4.3,19
West Bengal,Kolkata,Hanglaatherium,RAJPUR-SONARPUR MUNICIPALITY,Recommended,Chicken Tawa Kabab (6 Pcs),425.0,4.4,67
Bihar,Patna,Pour Tous,Patliputra Colony,Chinese (non-veg),Chicken-65 (dry),390.0,4.3,14
Karnataka,Bengaluru,Baskin Robbins - Ice Cream Desserts,KENGERI SATELLITE TOWN,Classic & Nuts Ice Creams,Roasted Californian Almond Ice Cream,90.0,4.5,2
Madhya Pradesh,Indore,The Good Bowl,Sudama Nagar,Recommended,Paneer Lababdar Rice Bowl,389.0,0.0,0
Mizoram,Aizawl,Chopstyx,Aizawl,Noodles,Veg thukpa,234.0,0.0,0
Delhi,New Delhi,Dabba & Co.,Sector 16 Faridabad,Main Course,Tandoori Paneer Tikka Masala,239.0,0.0,0
Karnataka,Bengaluru,Bowl Soul,Electronic City,Power Bowls,Sunshine Delight Bowl,339.0,0.0,0
Tripura,Agartala,Delicious Fast Food,Lal Bahudur Chowmuhani,Must Try Combos,"Chicken Fried Rice &
Chicken Curry
",200.0,2.9,3
Telangana,Hyderabad,Veg Darbar by Behrouz Biryani,Boduppal,Miniyat Biryanis,Miniyat Subz-e-Biryani,299.0,0.0,0
Tamil Nadu,Chennai,A2B - Adyar Ananda Bhavan,Chromepet,Recommended,Alu Gobi Masala,280.0,4.6,109
Chhattisgarh,Raipur,Moti Mahal,Vishal Nagar,South Indian,Cutting Masala Dosa,237.0,4.2,119
Tamil Nadu,Chennai,McDonald's,Anna Nagar,McSaver Combos (2 Pc Meals),McVeggie Burger + Fries (M) + Piri Piri Mix,240.0,4.0,10
Himachal Pradesh,Shimla,Costa Coffee,Solan Town,Desserts - Cakes & Muffins,Date & Walnut Cake.,185.0,0.0,0
Himachal Pradesh,Shimla,Pyramid,Mall Road,"Combo""s",Chicken Curry Meal,399.0,0.0,0
Uttar Pradesh,Lucknow,Burger King,Lucknow,Kings Collection ( Premium Burgers ),Original Whopper Chicken(XL size Bun)+Fries(M).,328.0,4.5,1
Maharashtra,Mumbai,Radha Krishna,Thane Hiranandani Estate,Biryani & Rice,Cheese Biryani,260.0,0.0,0
Punjab,Chandigarh,Captain Sam's Pizza,Sector 40,Desserts,Choco Mud Slab,59.0,3.3,51
Rajasthan,Jaipur,Dream Cafe Jaipur,Jagatpura,Fries,Cheesy Fries,135.0,0.0,0
Odisha,Bhubaneswar,Wow! China,Cda Sector 6,Bowls (Save Upto 40%),Chilli Garlic Rice With Veg Manchurian,299.0,4.0,39
Tamil Nadu,Chennai,Starbucks Coffee,Anna Nagar,Recommended,Chicken Salad Sandwich,280.0,4.8,27
Delhi,New Delhi,Prime Bakery & Sweets,Sector 76,Sweets,Rasmalai 2 Pc,115.0,4.3,20
Manipur,Imphal,Nakama Cafe,Majorkhul,Special,Chicken salad,160.0,0.0,0
Bihar,Patna,Grill Inn,Hajipur,Desserts And Beverages,Butterscotch Ice Cream,79.0,0.0,0
Sikkim,Gangtok,Valley Vista,Gangtok,Deshi Khana,Chicken do pyaza,350.0,0.0,0
Bihar,Patna,7th Heaven,Hajipur,Edible Cup Mousse,Pineapple Cup Mouuse,65.0,0.0,0
Karnataka,Bengaluru,"Faasos - Wraps, Rolls & Shawarma",Navaratan Gardens,Pocket Friendly Rolls,Veg Fingers Chipotle Burger Wrap,129.0,4.7,12
Rajasthan,Jaipur,The Bro Momos,Kanji Nagar,Rolls & wraps,Spring Roll ,149.0,0.0,0
Delhi,New Delhi,Olio - The Wood Fired Pizzeria,NIHANKARI SATSANG BHAWAN,Dips,Pizza Chilli Oil,30.0,4.7,1
Delhi,New Delhi,Faasos Signature Wraps & Rolls,Sector 19,Breakfast Specials,DIY Chicken Signature Wrap and Beverage Breakfast Meal,279.0,0.0,0
Assam,Guwahati,McDonald's,Ganeshguri,Double Patty Burgers & Meals,Large EVM  Butter Paneer Grilled Double Patty Burger,401.0,5.0,6
Delhi,New Delhi,Ghar ka Khana by EatFit,Sector 31,Shravan Special,Muskmelon Fruit Bowl,59.0,0.0,0
Uttar Pradesh,Lucknow,Makhani Darbar,Kamta,Desserts,Belgian Chocolate Ice Cream,99.0,0.0,0
Telangana,Hyderabad,Bikanervala,aramghar,Namkeen,Plain Kaju Jar 400g,857.14,0.0,0
Uttar Pradesh,Lucknow,Burger King,Crown mall Lucknow,Value Meals (Save Upto 47%),Extra Crunchy Veg Whopper Deluxe(Reg. Size Bun) Meal (M),268.0,0.0,0
Karnataka,Bengaluru,Olio - The Wood Fired Pizzeria,Yeswanthpur,Oh-so-Cheesy (New Launch),Four Cheese Forest Chicken Pizza,399.0,0.0,0
Karnataka,Bengaluru,FreshMenu,Yelahanka,Bowls,Meatball Marinara Spaghetti Bowl,299.0,3.7,3
Meghalaya,Shillong,KFC,Police Bazaar,BONELESS CHICKEN POPCORN,Chicken Popcorn - Regular,140.0,4.4,359
Bihar,Patna,Kingdom of Momos,Kankarbagh ,Non Veg Main Course,Murgh Musallam,400.0,0.0,0
Assam,Guwahati,The Great Indian Kitchen,Jalukbari,Paneer,Paneer Bharta,200.0,0.0,0
Assam,Guwahati,The Good Bowl,Beltola,Desserts,Choco Chip Pastry,109.0,4.6,3
Karnataka,Bengaluru,Subway,Sompura,Recommended,Tandoori Paneer Craver (10cm),169.0,4.2,29
Haryana,Gurgaon,ZAZA Mughal Biryani,Vasant Kunj,Chicken Starters,Smoky BBQ Chicken Wings [6 Pcs],229.0,4.5,17
Karnataka,Bengaluru,Subway,Rajarajeshwari Nagar,Recommended,Cheesy Mexican,294.0,4.9,11
Karnataka,Bengaluru,Polar Bear,Kanakapura Road,Chocolate Sundaes,Cookie Monster  Sundae,209.0,4.6,81
Gujarat,Ahmedabad,KFC,Rangat Green Memories,Recommended,Chill Vibes Zinger Meal,339.05,4.5,1
Karnataka,Bengaluru,The Good Bowl,R.M.V. 2nd Stage,Signature Bowls,Roast Vegetables Rice Bowl,329.0,4.6,55
Himachal Pradesh,Shimla,Pizza Hut,Mall Road,Pastas + 2 PC Plain Garlic Bread,Tomato Twist Red Sauce Pasta + 2 PC Plain Garlic Bread,229.0,0.0,0
Maharashtra,Mumbai,Domino's Pizza,SHREEJI PLAZA,Party Combo,Pizza Party for 4 (Veg) @Rs. 180 Off,999.0,4.2,2
Kerala,Kochi,Zaatar Arabic Restaurant,Palarivattom,Mandi,Beef Mandi,320.0,3.9,129
Madhya Pradesh,Indore,Baskin Robbins - Ice Cream Desserts,Bicholi Mardana,Family Prepacks,Very Berry Strawberry Ice Cream  (Family Prepack 700ml),377.12,0.0,0
Himachal Pradesh,Shimla,Chef's Planet,Solan Town,Veg Chinese Starters,Paneer Pepper Salt,330.0,0.0,0
Uttar Pradesh,Lucknow,Pastas By Pizza Hut,Vrindavan,Pizzas,Spiced Paneer,259.0,3.7,2
Madhya Pradesh,Indore,Pizza Hut,Vijay Nagar,Appetizer,Jalapeno Pepper Dip,28.57,3.6,8
Telangana,Hyderabad,Bikanervala,aramghar,Dry Fruit,Akhrot Giri,638.1,0.0,0
Karnataka,Bengaluru,Homely,Bellandur Sarjapur,Recommended,Beans Carrot Poriyal,159.0,4.6,199
West Bengal,Kolkata,LunchBox - Meals and Thalis,Thakurpukur,Kulcha Lunchbox,Smoked Butter Chicken & Bread Kulcha Lunchbox,319.0,4.0,101
Rajasthan,Jaipur,Roastery Coffee House,C Scheme,Coffee Beans,Cappuccino Blend Coffee Beans,500.0,0.0,0
Tamil Nadu,Chennai,McDonald's,Anna Nagar,Protein Plus and Burgers with Millet Bun,McSpicy Chicken Burger Protein Plus (2 Slices),255.0,0.0,0
Delhi,New Delhi,Burgerama,Sector 73,Newly Launched - Bunless Burger Salads,Farmsworth Salad,269.0,0.0,0
Punjab,Chandigarh,Lord Petrick,Sector 15,Kids Meal,Burger Buddies Box With Surprise Gift,270.0,4.2,3
Karnataka,Bengaluru,McDonald's Gourmet Burger Collection,Bannerghatta Road,Burgers & Wraps,Big Spicy Paneer Wrap,242.0,4.4,1
Rajasthan,Jaipur,Grameen Kulfi,Malviya Nagar,Slice Kulfi,Desi Malai Slice Kulfi (Pack Of 3),177.97,5.0,62
Sikkim,Gangtok,New Parivar Restaurant,Gangtok,Vegetables,Babycorn masala,340.0,0.0,0
Jharkhand,Ranchi,NIC Ice Creams,Hatia,"Double Scoops, Double Smiles",Chocoberry Bliss,177.97,0.0,0
Maharashtra,Mumbai,Shiv Sagar Veg Restaurant,Thane West,Pizza,Cheese Pizza 7 [Inch],355.0,0.0,0
Karnataka,Bengaluru,Homely,Bellandur Sarjapur,Desserts,Gulab Jamun (2 pcs),89.0,4.8,169
Bihar,Patna,Elite Family Choice Restaurant,Hajipur,Dal Ka Bahar,Dal Fry,160.0,4.7,17
Haryana,Gurgaon,McDonald's,Palam Vihar,Happy Meal,HappyMeal-McVeggie *,227.0,3.8,12
Punjab,Chandigarh,KFC,Sector 15,Rolls,Indian Tandoori Chicken Roll,139.0,4.3,32
Odisha,Bhubaneswar,Scholars,Jagmohan Nagar,Paneer Main Course,Paneer Bhurji,269.0,3.6,27
Telangana,Hyderabad,Bikanervala,aramghar,Bakery,Biscuit Nan Khatai,173.73,0.0,0
Gujarat,Ahmedabad,Balaji Restaurant,Isanpur,Rotiyaan,Chapatti butter,20.0,0.0,0
Goa,Panaji,Takeout - Asian Goodness,Anjuna,Recommended,Truffle Edamame,325.0,0.0,0
Rajasthan,Jaipur,Subway,C Scheme,Recommended,Roasted Chicken Strip Sandwich,279.0,4.8,57
Kerala,Kochi,The Good Bowl,Edappally,Mini Bowls,Chicken Tikka Masala Mini Rice Bowl,279.0,5.0,3
Karnataka,Bengaluru,ITC Master Chef Creations,"Sanjay Nagar, New BEL Road",Authentic North Indian Breakfast Meals,Sabudana Khichdi & Dahi,287.0,4.6,20
West Bengal,Kolkata,Veg Meals by Lunchbox,Thakurpukur,Breads and Accompaniments,Chapati Tub (6 pcs),99.0,4.5,3
Maharashtra,Mumbai,BOOM - Sub Style Sandwiches,Nerul,BOOM Classics,Tikki Chaat Style Sub-Sandwich,129.0,0.0,0
Himachal Pradesh,Shimla,Aao Ji Te Khao Ji,Mall Road Solan,Starters,Achaari Chaap,140.0,0.0,0
Assam,Guwahati,The Good Bowl,Beltola,Beverages,Jeera Masala Soda (350 mL),57.0,4.8,8
Karnataka,Bengaluru,Veg Meals by Lunchbox,Gunjur Village,Recommended,Paneer Makhani & Chapati Lunchbox,309.0,0.0,0
Nagaland,Kohima,The cherith,Kohima,Items Under Rs 199,Steam Mixed Veg,112.0,0.0,0
Uttar Pradesh,Lucknow,Lazeez - Rooftop Lounge,Gomti Nagar,Snacks/ Starters,Veg Double Patty Burger [Large],129.0,0.0,0
Delhi,New Delhi,Bikanervala,Raj Nagar Extension,Khari/Puffs,Jeera Puff 300g,101.69,0.0,0
Delhi,New Delhi,Hira Sweets,Indirapuram,Cookies & Namkeen,Mini Samosa (400 Gms) ,107.14,3.8,116
Punjab,Chandigarh,KFC,Phase 9 Mohali,Friendship Day Epic Deals (upto Rs 256 off),Chill Squad Strips & Mojito Platter,419.0,0.0,0
Rajasthan,Jaipur,Darjeeling Momos,Khatipura,Sandwich & Wraps & Maggi's,Vegetable Sandwich [non-grilled],139.0,0.0,0
Tripura,Agartala,Pizza Hut,Nagerjala,Thin n Crispy Pizzas,Tandoori Paneer Thin n Crispy,749.0,0.0,0
Rajasthan,Jaipur,Singh's Town Cafe,Kukas,Burger,Crispy veg burger,105.0,4.0,14
Karnataka,Bengaluru,"Faasos - Wraps, Rolls & Shawarma",Whitefield,Super Saver Wrap Duos,2 Classic Non-Veg Rolls at 165 each,329.0,3.9,18
Sikkim,Gangtok,Bowljini Mix Eat Repeat,Gangtok,Pasta BOWLJ,Chicken Spicy Pasta Bowlj,199.0,4.1,21
Telangana,Hyderabad,Subway,Neo Aparna Mall,Recommended,Chicken Seekh Craver (10cm),169.0,4.1,4
Haryana,Gurgaon,Bikanervala,Palam Vihar,Breakfast Special,Vada Sambar,145.0,3.9,15
Telangana,Hyderabad,Bikanervala,aramghar,Namkeen,Badam Sanora 100g,232.14,0.0,0
Karnataka,Bengaluru,Bowl Soul,Electronic City,All Day Breakfast,Masala Eggs n Creamy Spinach Brekkie,249.0,0.0,0
Odisha,Bhubaneswar,Shreelal Food Plaza,Khandagiri,Dosas And Uttapams,Paneer Plain Dosa,117.0,4.2,13
Telangana,Hyderabad,The Fisherman's Wharf,Gachibowli,Pan Asian Cravings,Hakka Noodles Chicken,420.0,4.3,91
Tamil Nadu,Chennai,Popeyes,Aerohub East Mall,Sides & Dips,Bold Cajun & Garlic Mayo Dip Combo,60.0,0.0,0
Nagaland,Kohima,Wrap the cravings,Kohima,Tacos (cheese) 3 piece,Chicken Tacos (cheese),220.0,0.0,0
Gujarat,Ahmedabad,McDonald's,Prahlad Nagar,Burger Combos ( 3 Pc Meals ),Chicken McNuggets 6 Pcs Combo,348.56,5.0,5
Delhi,New Delhi,Mad Over Donuts,Dwarka,Made With Kitkat,Kitkat Donuts - Box Of 6 (Buy 5 Get 1 Free),667.0,0.0,0
Telangana,Hyderabad,Bikanervala,aramghar,Street Sliders,Extra Bhaji,200.0,0.0,0
Jharkhand,Ranchi,Brijwasi Pure Veg,Mesra,Main Course,Shahi Paneer Yellow Gravy,195.0,0.0,0
Kerala,Kochi,Supreme Upper Crust,Vyttila,South Indian,Beef Kanthari Ularthu,480.0,0.0,0
Tripura,Agartala,Daya Hari Mithai,Kaman Chowmuhani,Starter,Crispy Potato,205.0,5.0,4
West Bengal,Kolkata,South Indian Coffee House,Behala,Recommended,Butter Onion Coconut Masala Dosa,202.0,4.6,48
Assam,Guwahati,Loyans Bakery & Confectionery,Azara,Savoury,Chicken Quiche,138.0,3.7,5
Goa,Panaji,KFC,Dabolim,SIDES AND DIPS,Pack of 4 Dips,109.52,4.8,80
Delhi,New Delhi,Burger King,Sector 63,Korean Spicy Fest(Limited Time Only),2Crispy Chicken Burger+Korean Spicy Chicken(4pc)+2Coke.,449.0,0.0,0
Maharashtra,Mumbai,BOX8 - Desi Meals,Nerul,Sides & Drinks,Choco Lava Cake + Coke Combo @ Rs.79,79.0,0.0,0
Uttar Pradesh,Lucknow,Wow! Momo,Vrindavan Colony,Burger Momo [Moburg],Chicken Moburg,129.0,3.0,5
Karnataka,Bengaluru,RNR Biryani - Taste of 1953,Beml Layout,Beverages,Sprite 250ml,19.05,4.6,6
Delhi,New Delhi,Veg Meals by Lunchbox,Sector 19,North Indian Curries,Dal Makhani Bowl,179.0,0.0,0
Gujarat,Ahmedabad,Jayhind Sweets,Ghatlodia,Traditional Sweets,Sukhdi,216.0,4.5,10
Odisha,Bhubaneswar,Swastik Mom's Kitchen,Link Road,Rice,Veg Mix Fried Rice,172.0,4.5,80
Punjab,Chandigarh,"The Dessert Heaven - Pastry, Brownie and Cakes",Sector 24,Match Day Combo,Pack Of Two Choco Lava Cakes,199.0,4.7,7
Delhi,New Delhi,Olio - The Wood Fired Pizzeria,NIHANKARI SATSANG BHAWAN,Guiltfree By Eatfit!,Deluxe Veggie Pizza [Multigrain],289.0,4.7,17
Punjab,Chandigarh,The Food Villa,Greater Mohali,Pizza,Veg Pizza,140.0,0.0,0
Telangana,Hyderabad,Go Zero Ice Creams & Desserts,Narsingi FC,Recommended,Mad Over Mango (500 ml),360.0,4.7,4
Uttar Pradesh,Lucknow,The Biryani Life,Kamta,Haleem Specials,Mutton Dum Biryani Mealbox,529.0,0.0,0
Madhya Pradesh,Indore,LunchBox - Meals and Thalis,Sheetal Nagar,Beverages,Thums Up Can (330 mL),66.5,0.0,0
Uttar Pradesh,Lucknow,KFC,Aashiana,Recommended,Thai Spicy Roll & Zinger Chicken Meal,419.0,4.9,3
Karnataka,Bengaluru,Kanti Sweets,"Sanjay Nagar, New BEL Road",Cookies And Biscuits,Fruit Biscuits (250 Gms),144.07,4.5,1
Madhya Pradesh,Indore,LunchBox - Meals and Thalis,Sheetal Nagar,Rumali Roti Lunchbox,Chicken Mughlai Gravy with Rumali Roti Lunchbox,309.0,0.0,0
Karnataka,Bengaluru,Kanti Sweets,"Sanjay Nagar, New BEL Road",Sweets,Gud Doodh Peda,204.76,0.0,0
Madhya Pradesh,Indore,Social,Pushp Vihar Colony,Munchies,Awesomosas,380.0,4.6,10
Rajasthan,Jaipur,Sambharsa,Jagatpura,Uttapam,Mixed Vegetable With Chilli Uttapam,290.0,4.4,15
Goa,Panaji,Viggis,Nor_Baga Calangute,Biryani Rice Noodles,Jeera Rice,230.0,4.2,28
West Bengal,Kolkata,"Faasos - Wraps, Rolls & Shawarma",Lake Town,Pocket Friendly Rolls,Cheesy Egg Chicken Sausage Wrap,165.0,0.0,0
Maharashtra,Mumbai,Anna Snacks,Rainbow Apartments,Uttapam,Ghee Onion Masala Uttapam,170.0,0.0,0
Karnataka,Bengaluru,NH1 Bowls - Highway To North,Rajarajeshwari Nagar,Veg Paratha Bowls,Pind di Dal Makhani [Paratha] Bowl,199.0,4.5,2
Karnataka,Bengaluru,LunchBox - Meals and Thalis,Whitefield,Starters,Potato Wedges (Medium),89.0,4.6,17
Punjab,Chandigarh,The Belgian Waffle Co.,Sector 66A,Recommended,Make At Home @ Rs.375,375.0,0.0,0
Jammu and Kashmir,Srinagar,Pizza Hut,Rajbagh,Appetizer,Sprinkled Fries - New,109.0,3.6,88
Tamil Nadu,Chennai,Meat and Eat,Poonamallee,Pizza,Chicken Pepperoni Pizza,355.0,0.0,0
Gujarat,Ahmedabad,Jay Bhavani Vadapav,Sola,Vadapav,Bombay Vadapav ,30.0,4.6,21
Bihar,Patna,Behrouz Biryani,Kankarbagh,Dastan-e-Kebab (Starters),Angara Murgh Kebab (Chicken Tikka Kebab),179.0,4.3,3
Uttar Pradesh,Lucknow,McDonald's,Land Mark Square Commercial Complex,The Ranveer Singh Meal,   McChicken Xplode VM,233.0,0.0,0
Tripura,Agartala,UK Pizza Hut,Krishna Nagar,Veg Pizza,Regular UK Special Veg Lover Pizza,289.0,0.0,0
Tripura,Agartala,UK Pizza Hut,Krishna Nagar,Recommended,Medium Exotic Veggie Pizza,379.0,3.3,12
Karnataka,Bengaluru,Bowl Soul,Electronic City,Indian Bowls,Ghee Roast Chicken Rice Bowl,299.0,0.0,0
Karnataka,Bengaluru,The Good Bowl,Navaratan Gardens,Desserts,Walnut Brownie,109.0,0.0,0
Assam,Guwahati,The Great Indian Kitchen,Jalukbari,Biryani,Paneer Birayni,270.0,0.0,0
West Bengal,Kolkata,"Faasos - Wraps, Rolls & Shawarma",Thakurpukur,Desserts,Choco Lava Cake,99.0,4.5,16
Chhattisgarh,Raipur,McDonald's,Shankar Nagar,Burgers & Wraps,Mexican McAloo Tikki Double Patty Burger,94.0,4.3,72
Himachal Pradesh,Shimla,Ice & Spice,Solan Town,Tandoori,Chicken Afgani Tikka,390.0,0.0,0
Karnataka,Bengaluru,Subway,Rajarajeshwari Nagar,Recommended,Cheesy Chicken Tikka,314.0,4.8,14
Assam,Guwahati,Fat Belly,Rani Gate,Wraps,Kadai Chicken Wrap,140.0,3.8,3
Telangana,Hyderabad,Faasos' Signature Wraps & Rolls,shamshabad,Burger Wraps (Extra Crunch),"Spicy Paneer Burger Wrap, Fries & Coke",349.0,0.0,0
Meghalaya,Shillong,Southern Taste,Fire Brigade,Spl Combo,Appam With Veg Kurma,170.0,4.5,46
Meghalaya,Shillong,Long Jhon Silver's,Polo,Rice,Steamed Rice,50.0,4.0,66
Rajasthan,Jaipur,KFC,Jaipur Textile Market,EPIC VALUE MEALS FOR 1-2 (UP TO 22% OFF),Classic Chicken Roll Feast,398.0,0.0,0
Punjab,Chandigarh,McDonald's,Airport Road,McCafe.,Cappuccino  ,114.0,0.0,0
Maharashtra,Mumbai,BOX8 - Desi Meals,Nerul,Ice creams by Globo,Belgian Death By Chocolate Ice Cream [140 ML],99.0,0.0,0
Goa,Panaji,McDonald's,Calangute,Fries & Sides,9 Pc Chicken Nuggets,219.03,4.5,482
Madhya Pradesh,Indore,LunchBox - Meals and Thalis,Sheetal Nagar,Chapati Lunchbox,Smoked Butter Chicken & Chapati Lunchbox,309.0,4.9,12
Haryana,Gurgaon,Chinese Wok,Sector 37,Pot Rice,Veg Manchurian Pot Rice,425.0,0.0,0
Telangana,Hyderabad,Oven Story Pizza,Shamshabad,Garlic Breads,Dragonfire Paneer Tikka Garlic Bread,189.0,4.3,1
Himachal Pradesh,Shimla,Sahib's Punjabi Tadka,South Shimla,Mushroom In Gravy,Mushroom Do Pyaza,360.0,0.0,0
Chhattisgarh,Raipur,Moti Mahal,Vishal Nagar,Breads,Plain Tawa Roti,42.0,0.0,0
Tamil Nadu,Chennai,KFC,Poonamallee,Double Down Burger,Double Down Burger & Popcorn Meal,429.0,4.5,17
Punjab,Chandigarh,Street 9,Kalka,Momos,Chilli Momos [10 Pieces],170.0,0.0,0
Assam,Guwahati,Pizza Hut,Maligaon,Thin n Crispy Pizzas,Bold BBQ Veggie Thin n Crispy,749.0,4.2,2
Madhya Pradesh,Indore,Social,Pushp Vihar Colony,Munchies,Death Wings,490.0,4.6,5
Uttar Pradesh,Lucknow,Rominus Pizza And Burger,Vrindavan Colony,Traditional Classic Pizza Non Veg,Non Veg Lover,360.0,4.2,2
Karnataka,Bengaluru,Baskin Robbins - Ice Cream Desserts,KENGERI SATELLITE TOWN,Freshly Scooped Tubs,Cotton Candy Burst Gelato (Tub),455.0,0.0,0
Maharashtra,Mumbai,NIC Ice Creams,Ulave,100 ml Ice creams,Madagascar 100ml,101.69,4.6,8
Telangana,Hyderabad,KFC,Narepally,BURGERS,2 Classic Chicken Krisper Burgers,299.0,3.5,5
Maharashtra,Mumbai,Poetry By Love & Cheesecake,Hiranandani Estate,Iced Coffee,Vietnamese Cold Brew,330.0,3.9,2
West Bengal,Kolkata,Mealful Rolls - India's Biggest Rolls,Jessore Rd,Multi Roll Combos [FREE Coke & Choco Lava worth...,Any 3 Rolls [FREE Coke & Choco Lava Cake],509.0,0.0,0
Karnataka,Bengaluru,NIC Ice Creams,KENGERI UPANAGAR,500 ml Ice creams,Kesar Pista Ice Cream 500ml,296.61,4.8,27
West Bengal,Kolkata,Burger King,Barasat,Exclusive Deals (Save upto 40%),Crispy Chicken Burger+Fries(M),218.0,4.4,106
Goa,Panaji,KFC,Mapusa,RICE BOWLZ,Plain Rice Bowlz,139.0,4.3,14
Delhi,New Delhi,Cheesecake & Co.,Dwarka,Jar,Belgian Chocolate Mousse Jar,250.0,4.8,93
Maharashtra,Mumbai,Chinese Wok,Hawares Centurion,Drinks,Pepsi Pet Bottle,57.0,4.7,52
Manipur,Imphal,Mummy's kitchen,Checkon,Recommended,Plain Rice,80.0,0.0,0
Chhattisgarh,Raipur,Amritsari Restaurant Katora Talab,Katora Talab,Tandoori Starters,Soya Pudina Chaap,303.86,0.0,0
Maharashtra,Mumbai,Pizza Hut,Nerul,Recommended,Veggie Feast,259.0,3.7,114
Bihar,Patna,Winni Cakes & More,Kankarbagh,Celebration Cakes,German Black Forest Cake,475.0,0.0,0
Madhya Pradesh,Indore,Maa Ki Rasoi,Vijay Nagar,Veg Main Course,Aloo Jeera,128.5,4.3,4
Rajasthan,Jaipur,Harishankar Veg Restro,Pratap Nagar,Tandoor Se,Aloo Paratha,100.0,4.3,10
Meghalaya,Shillong,The Phoenix Residency,Nongthymmai Nongkhyriem,Veg Main Course,Paneer Patiala,350.0,4.9,6
Karnataka,Bengaluru,Baskin Robbins - Ice Cream Desserts,RR Nagar,Classic & Nuts Ice Creams,Honey Nut Crunch Ice Cream,110.0,0.0,0
Tamil Nadu,Chennai,Ratna Cafe (Estd.1948),Kilpauk,Combos,Naan (2 Pcs) + Palak Paneer (small Portion),260.0,5.0,9
Karnataka,Bengaluru,SMOOR,Electronic City,Combos,Eggless Choco Truffle Pasty + 3pc Eggless Assorted Macarons,409.0,0.0,0
Gujarat,Ahmedabad,1944 The Hocco kitchen,Bopal,Soups,Creamy Waterchestnut,369.0,0.0,0
Uttarakhand,Dehradun,Baskin Robbins - Ice Cream Desserts,SATYA TOWER,Value Scoops,Cotton Candy Ice Cream (Regular Scoop),157.0,0.0,0
